Year,Region,Ethnic Group,Measure,Value,Flags
"1998","Northland Region","Total Ethnic Groups","Average Weekly Income",334,
"1999","Northland Region","Total Ethnic Groups","Average Weekly Income",363,
"2000","Northland Region","Total Ethnic Groups","Average Weekly Income",357,
"2001","Northland Region","Total Ethnic Groups","Average Weekly Income",393,
"2002","Northland Region","Total Ethnic Groups","Average Weekly Income",426,
"2003","Northland Region","Total Ethnic Groups","Average Weekly Income",456,
"2004","Northland Region","Total Ethnic Groups","Average Weekly Income",463,
"2005","Northland Region","Total Ethnic Groups","Average Weekly Income",527,
"2006","Northland Region","Total Ethnic Groups","Average Weekly Income",521,
"2007","Northland Region","Total Ethnic Groups","Average Weekly Income",585,
"2008","Northland Region","Total Ethnic Groups","Average Weekly Income",545,
"1998","Auckland Region","Total Ethnic Groups","Average Weekly Income",469,
"1999","Auckland Region","Total Ethnic Groups","Average Weekly Income",477,
"2000","Auckland Region","Total Ethnic Groups","Average Weekly Income",496,
"2001","Auckland Region","Total Ethnic Groups","Average Weekly Income",509,
"2002","Auckland Region","Total Ethnic Groups","Average Weekly Income",556,
"2003","Auckland Region","Total Ethnic Groups","Average Weekly Income",589,
"2004","Auckland Region","Total Ethnic Groups","Average Weekly Income",626,
"2005","Auckland Region","Total Ethnic Groups","Average Weekly Income",628,
"2006","Auckland Region","Total Ethnic Groups","Average Weekly Income",626,
"2007","Auckland Region","Total Ethnic Groups","Average Weekly Income",688,
"2008","Auckland Region","Total Ethnic Groups","Average Weekly Income",731,
"1998","Waikato Region","Total Ethnic Groups","Average Weekly Income",393,
"1999","Waikato Region","Total Ethnic Groups","Average Weekly Income",400,
"2000","Waikato Region","Total Ethnic Groups","Average Weekly Income",418,
"2001","Waikato Region","Total Ethnic Groups","Average Weekly Income",437,
"2002","Waikato Region","Total Ethnic Groups","Average Weekly Income",499,
"2003","Waikato Region","Total Ethnic Groups","Average Weekly Income",509,
"2004","Waikato Region","Total Ethnic Groups","Average Weekly Income",541,
"2005","Waikato Region","Total Ethnic Groups","Average Weekly Income",561,
"2006","Waikato Region","Total Ethnic Groups","Average Weekly Income",586,
